artist_input,wikidata_uri,label,country,country_lat,country_lon,birth,birth_place,birth_lat,birth_lon,death,death_place
Berna Reale,http://www.wikidata.org/entity/Q24040300,Berna Reale,Brasil,-14.0,-53.0,1965-01-01T00:00:00Z,Belém,-1.4558333,-48.503887,,
Bernard Reder,http://www.wikidata.org/entity/Q4893580,Bernard Reder,Roménia,46.0,25.0,1897-06-29T00:00:00Z,Chernivtsi,48.290833,25.934444,1963-09-07T00:00:00Z,Nova Iorque
Bernardita Vattier,http://www.wikidata.org/entity/Q16537421,Bernardita Vattier,Chile,-33.0,-71.0,1944-01-01T00:00:00Z,Valparaíso,-33.046112,-71.61972,,
Bernardo Cid,,,,,,,,,,,
Bernardo Krasniansky,http://www.wikidata.org/entity/Q9169382,Bernardo Krasniansky,Brasil,-14.0,-53.0,1951-01-01T00:00:00Z,Assunção,-25.28,-57.634445,,
Beth Moysés,http://www.wikidata.org/entity/Q50190228,Beth Moyses,Brasil,-14.0,-53.0,1960-01-01T00:00:00Z,São Paulo,-23.550394,-46.633945,,
Betsabé Romero,,,,,,,,,,,
Bette Kalache,,,,,,,,,,,
Bia Gayotto,,,,,,,,,,,
Bia Simões,,,,,,,,,,,
Bin Kondo,,,,,,,,,,,
Bob Wolfenson,http://www.wikidata.org/entity/Q1789392,Bob Wolfenson,Brasil,-14.0,-53.0,1954-01-01T00:00:00Z,São Paulo,-23.550394,-46.633945,,
Boris Kossoy,http://www.wikidata.org/entity/Q101235486,Boris Kossoy,Brasil,-14.0,-53.0,1941-01-01T00:00:00Z,São Paulo,-23.550394,-46.633945,,
Boris Margo,http://www.wikidata.org/entity/Q50821447,Boris Margo,Estados Unidos,39.828175,-98.5795,1902-01-01T00:00:00Z,Volochysk,49.536083,26.212723,1995-07-05T00:00:00Z,Hyannis
Boris Viskin,http://www.wikidata.org/entity/Q59461233,Boris Viskin,México,23.0,-102.0,1960-01-01T00:00:00Z,Cidade do México,19.353773,-99.13589,,
Bruno Cassinari,http://www.wikidata.org/entity/Q993130,Bruno Cassinari,Reino da Itália,41.9,12.5,1912-10-29T00:00:00Z,Placência,45.05,9.7,1992-03-26T00:00:00Z,Milão
Bruno Dunley,,,,,,,,,,,
Bruno Giorgi,http://www.wikidata.org/entity/Q2377295,Bruno Giorgi,Brasil,-14.0,-53.0,1905-08-13T00:00:00Z,Mococa,-21.467777,-47.004723,1993-09-07T00:00:00Z,Rio de Janeiro
Bruno Gironcoli,http://www.wikidata.org/entity/Q689223,Bruno Gironcoli,Áustria,48.0,14.0,1936-09-27T00:00:00Z,Villach,46.616665,13.833333,2010-02-19T00:00:00Z,Viena
Bruno Missieri,,,,,,,,,,,
Bruno Saetti,http://www.wikidata.org/entity/Q3645919,Bruno Saetti,Reino da Itália,41.9,12.5,1902-02-21T00:00:00Z,Bolonha,44.49389,11.342778,1984-07-10T00:00:00Z,Bolonha
Bruno Sapienti,,,,,,,,,,,
Bryan Wynter,http://www.wikidata.org/entity/Q995133,Bryan Wynter,Reino Unido da Grã-Bretanha e Irlanda,51.50722,-0.1275,1915-09-08T00:00:00Z,Londres,51.50722,-0.1275,1975-02-02T00:00:00Z,Penzance
Bukichi Inoue,http://www.wikidata.org/entity/Q2446263,Bukichi Inoue,Império do Japão,35.6825,139.75278,1930-12-08T00:00:00Z,Nara,34.685,135.80478,1997-01-01T00:00:00Z,
Byron Browne,http://www.wikidata.org/entity/Q5004314,Byron Browne,Estados Unidos,39.828175,-98.5795,1942-12-27T00:00:00Z,St. Joseph,39.768612,-94.84664,,
Caciporé Torres,http://www.wikidata.org/entity/Q2749091,Caciporé Torres,Brasil,-14.0,-53.0,1935-03-10T00:00:00Z,Araçatuba,-21.208889,-50.432777,,
Caetano de Almeida,,,,,,,,,,,
Caio Reisewitz,http://www.wikidata.org/entity/Q43135762,Caio Reisewitz,Brasil,-14.0,-53.0,1967-01-01T00:00:00Z,São Paulo,-23.550394,-46.633945,,
Camille Graeser,http://www.wikidata.org/entity/Q121000,Camille Graeser,Suíça,46.79856,8.231973,1892-02-27T00:00:00Z,Carouge,46.18166,6.14037,1980-02-21T00:00:00Z,Wald
Camille Kachani,,,,,,,,,,,
Camilo Sampaio Neto,,,,,,,,,,,
Candida Höfer,http://www.wikidata.org/entity/Q450910,Candida Höfer,Alemanha,51.0,10.0,1944-02-04T00:00:00Z,Eberswalde,52.833057,13.8330555,,
Candido Portinari,http://www.wikidata.org/entity/Q319532,Candido Portinari,Brasil,-14.0,-53.0,1903-12-29T00:00:00Z,Brodowski,-20.990833,-47.65889,1962-02-06T00:00:00Z,Rio de Janeiro
Carla Petrini,,,,,,,,,,,
Carlito Carvalhosa,,,,,,,,,,,
Carlito Contini,http://www.wikidata.org/entity/Q9696766,Carlito Contini,Brasil,-14.0,-53.0,1960-01-01T00:00:00Z,São Paulo,-23.550394,-46.633945,,
Carlo Carrà,http://www.wikidata.org/entity/Q168496,Carlo Carrà,Reino da Itália,41.9,12.5,1881-02-11T00:00:00Z,Quargnento,44.945835,8.488055,1966-04-13T00:00:00Z,Milão
Carlo Petrucci,,,,,,,,,,,
Carlos Alberto Petrucci,http://www.wikidata.org/entity/Q9696819,Carlos Alberto Petrucci,Brasil,-14.0,-53.0,1919-10-23T00:00:00Z,Pelotas,-31.771944,-52.342777,2012-06-08T00:00:00Z,
Carlos Aliseris,,,,,,,,,,,
Carlos Antônio Botelho,,,,,,,,,,,
Carlos Bevilacqua,,,,,,,,,,,
