Coluna 1,country of citizenship,educated at,ethnic group,place of birth,place of burial,place of death,sex or gender
Letícia Parente,Brazil,,,Salvador,,Rio de Janeiro,female
Leyla Mattoso,,,,,,,
Lênio Braga,Brazil,,,Ribeirão Claro,,,male
Lia Menna Barreto,Brazil,,,Rio de Janeiro,,,female
Lidiya Vertinskaya,Republic of China,Surikov State Academic Institute of Fine Arts,,Harbin,Novodevichy Cemetery,Moscow,female
,Soviet Union,,,,,,
,Russia,,,,,,
Lila Gonzales Lagrotta,,,,,,,
Lili Hirsch,,,,,,,
Liliane Soffer,,,,,,,
Lilly Michael,,,,,,,
Lino Dinetto,Italy,,,Este,,,male
Lisa Ficker Hoffmann,,,,,,,
Liuba Wolf,,,,Sofia,,São Paulo,female
Liz Miller,,,,,,,female
Livio Abramo,Brazil,,,Araraquara,,Asunción,male
,Paraguay,,,,,,
Loio-Pérsio,Brazil,Universidade Federal do Paraná,,Tapiratiba,,Rio de Janeiro,male
Lorenzo Bruno,Kingdom of Italy,,,Murazzano,,Turin,male
Lorenzo Guerrini,Italy,,,Milan,,Rome,male
Lorenzo Indrimi,Italy,,,,,,male
Lorenzo Viani,Kingdom of Italy,,,Viareggio,,Lido di Ostia,male
Lothar Charoux,Brazil,,,Vienna,,São Paulo,male
Louis Bec,France,,,Algiers,,,male
Michel Bertrand,France,,,Montpellier,,Perpignan,male
Max Charvolen,France,École des beaux-arts de Marseille,,,,,male
Hervé Fischer,France,École Normale Supérieure,,Paris,,,male
Giner ,,,,,,,
Christian Jaccard,France,École nationale supérieure des arts appliqués et des métiers d'art,,Fontenay-sous-Bois,,,male
,Switzerland,,,,,,
Patrick Jude,France,,,Perpignan,,,male
Jean-Michel Meurice,France,,,Lille,,15th arrondissement of Paris,male
Michel Vachey,,,,,,,male
Textruction,,,,,,,
Louis Clesse,Belgium,,,Ixelles,,Ixelles,male
Louis Schanker,United States,Art Students League of New York,,New York City,,New York City,male
Louis Van Lint,Belgium,Académie des beaux-arts de Saint-Josse-ten-Noode,,Saint-Josse-ten-Noode,,Brussels metropolitan area,male
Louise Bourgeois,France,Beaux-Arts de Paris,French,6th arrondissement of Paris,Cutchogue Cemetery,Beth Israel Medical Center,female
,United States,Art Students League of New York,,,,,
,,Académie Julian,,,,,
,,"Lycée Fénelon, Paris",,,,,
,,University of Paris,,,,,
,,École du Louvre,,,,,
,,Atelier 17,,,,,
,,Académie Moderne,,,,,
Louise Kruger,United States,Art Students League of New York,,Los Angeles,,,female
Lourdes Cedran,,,,,,,
Lourdes Donato Bonaldi,,,,,,,
Lucas Simões,,,,,,,male
Luciano Gregory,,,,,,,
Luciano Minguzzi,Italy,Academy of Fine Arts of Bologna,,Bologna,Piratello Cemetery,Milan,male
,Kingdom of Italy,University of Bologna,,,,,
Lucio Fontana,Italy,Brera Academy,,Rosario,,Comabbio,male
,Argentina,,,,,,
Lucy Citti Ferreira,Brazil,,,São Paulo,,14th arrondissement of Paris,female
Ludwig Zeller,Chile,Instituto Pedagógico,,Calama,,Oaxaca de Juárez,male
Luigi E. Mattei,Kingdom of Italy,,,,,,male
Luigi Zanotto,,,,,,,
Luis Alberto Solari,Uruguay,,,Fray Bentos,,Montevideo,male
Luis Camnitzer,Uruguay,University of the Republic,,Lübeck,,,male
Luis Enrique Silvestre Guerra,,,,,,,
Luis Fernando Benedit,Argentina,University of Buenos Aires,,Buenos Aires,,Buenos Aires,male
Luis Fernando Peláez,,,,,,,male
Luis López Loza,Mexico,,,Mexico City,,,male
Luis Martínez Pedro,Cuba,,,,,,male
Luis Mazzey,Uruguay,,,Montevideo,,,male
Luis Pazos,,,,,,,
Luis Ricaurte,Colombia,,,Pasto,,,male
Luise Weiss,,,,,,,
Luiz Alphonsus,Brazil,,,Belo Horizonte,,,male
Luiz Barth,,,,,,,
Luiz Braga,Brazil,,,Belém,,,male
Luiz Hermano,Brazil,,,Fortaleza,,,male
Luiz Martins,,,,,,,
Luiz Paulo Baravelli,Brazil,Fundação Armando Alvares Penteado,,,,,male
Luis Sacilotto,Brazil,,,Santo André,,São Bernardo do Campo,male
Luiz Ventura,,,,,,,
Luís Camargo,,,,,,,
Lula Cardoso Ayres,Brazil,,,,,,male
Lúcia Castanho,,,,,,,
