Coluna 1,country of citizenship,educated at,ethnic group,place of birth,place of burial,place of death,sex or gender
A. Bierry,,,,,,,
A. Correa Costa,,,,,,,
A. Tinoco,,,,,,,
A.Guedes,,,,,,,
César Lacanna,Brazil,,,São Paulo,,,male
César Rossi,Brazil,,,Blumenau,,,male
Charles-Frédéric Brun,Switzerland,,,Colmar,,Veysonnaz,male
Charles Joseph Suares,,,,,,,
Charles Landseer,United Kingdom,,,London,,London,male
Charles John Watson,United Kingdom,,,Norwich,,London,male
,United Kingdom of Great Britain and Ireland,,,,,,
Charlote Gross,,,,,,,
Charlotta Adlerová,Germany,,,Berlin,,São Paulo,female
,Brazil,,,,,,
Chen Kong Fang,Brazil,,,,,,male
Ciça Santos,,,,,,,
Cícero Dias,Brazil,,,Escada,Montparnasse Cemetery,16th arrondissement of Paris,male
Cildo Meireles,Brazil,,,Rio de Janeiro,,,male
Cimbelino Ramos de Freitas,Brazil,,,São Paulo,,São Paulo,male
Cincinato Mavignier,,,,,,,male
Ciro Cozzolino,Brazil,,,São Paulo,,,male
Clara Heteny,Italy,,,Budapest,,,female
Claude Monet,France,Beaux-Arts de Paris,,Paris,Giverny Churchyard,Giverny,male
Claudio Cretti,,,,,,,
Claudio Tozzi,Brazil,Faculty of Architecture and Urbanism of the University of São Paulo,,São Paulo,,,male
Clóvis Graciano,Brazil,,,Araras,,São Paulo,male
Columbano Bordalo Pinheiro,Portugal,,,Lisbon,Prazeres Cemetery,Lisbon,male
,Kingdom of Portugal,,,,,,
Constant Permeke,Belgium,Royal Academy of Fine Arts of Gent,,Antwerp,Jabbeke,Ostend,male
Corinto Brissac de Lucena,,,,,,,male
Corrado Cagli,Italy,,,Ancona,,Rome,male
,Kingdom of Italy,,,,,,
,Italy,,,,,,
Costa Miranda,Brazil,,,,,,male
Couto Filho,,,,,,,
Crisaldo Morais,,,,,,,
Cuzco school,,,,,,,
Cybèle Varela,Brazil,École du Louvre,,Petrópolis,,,female
Cyprien Eugène Boulet,France,,,Toulouse,,Toulon,male
Daniel Senise,Brazil,Escola de Artes Visuais do Parque Lage,,Rio de Janeiro,,,male
Danilo Di Prete,Brazil,,,Pisa,,São Paulo,male
Darcílio Lima,,,,,,,
Darcy Penteado,Brazil,,,São Roque,,São Paulo,male
Darel Valença Lins,Brazil,,,,,,male
David de Tewenoir,,,,,,,
David Teniers the Younger,Habsburg Netherlands,,Flemish people,Antwerp,,Brussels,male
Deborah Paiva,,,,,,,
Décio Villares,Brazil,,,Rio de Janeiro,,Rio de Janeiro,male
Delfim da Câmara,Brazil,,,,,,male
Desconhecido,,,,,,,
Désiré François Laugée,France,Beaux-Arts de Paris,,Maromme,Passy Cemetery,16th arrondissement of Paris,male
,,,,,Grave of Laugée,,
Diego de los Campos Orefice,,,,,,,male
Diego Velázquez,Spain,,,Seville,Madrid,Madrid,male
Dmytro Ismailovytch,Brazil,Pavel Military School,,Sataniv,,Rio de Janeiro,male
,Russian Empire,,,,,,
Djanira da Motta e Silva,Brazil,,,Avaré,,Rio de Janeiro,female
Djanira Volpi,,,,,,,
Domenico Failutti,Kingdom of Italy,Gallerie dell'Accademia,,Zugliano,,,male
Domingos Clementino,,,,,,,male
Domingos Sequeira,Kingdom of Portugal,,,Freguesia de Santa Maria de Belém,,Rome,male
Donald Urquhart,United Kingdom,,,,,,male
E. F. Schute,,,,,,,male
Ernst Immanuel Müller,Germany,,,Stuttgart,,Munich,male
E. Presty,,,,,,,
E. Ribeiro,,,,,,,
Edgar Degas,France,Beaux-Arts de Paris,,Paris,Montmartre Cemetery,Paris,male
,,Lycée Louis-le-Grand,,,,,
Edgard Cognat,Brazil,,,Rio de Janeiro,,Rio de Janeiro,male
Edgar Parreiras,Brazil,,,Niterói,,Niterói,male
Edmond Marie Petitjean,France,,,Neufchâteau,,Paris,male
Edmond Viancin,France,,,France,,Brazil,male
Édouard Manet,France,Collège-lycée Jacques-Decour,,former 10th arrondissement of Paris,Passy Cemetery,8th arrondissement of Paris,male
Édouard Viénot,France,Beaux-Arts de Paris,,Fontainebleau,,Brussels metropolitan area,male
Édouard Viénot,France,Beaux-Arts de Paris,,Fontainebleau,,Brussels metropolitan area,male
Edouard Vienot | Morisset,,,,,,,
Eduard Hildebrandt,Kingdom of Prussia,,,Gdańsk,,Berlin,male
Eduardo de Martino,Kingdom of the Two Sicilies,Accademia di Belle Arti di Napoli,,Meta,"St Mary's Catholic Cemetery, Kensal Green",London,male
,Kingdom of Italy,,,,,,
Eduardo de Sá,Brazil,,,Rio de Janeiro,,Rio de Janeiro,male
Eduardo Eloy,Brazil,,,Fortaleza,,,male
Eduardo Jonquieres,Argentina,,,Buenos Aires,,,male
Egon Schiele,Cisleithania,Academy of Fine Arts Vienna,Austrians,Tulln an der Donau,Ober Sankt Veiter Friedhof,Vienna,male
El Greco,Crown of Castile,,Greeks,Heraklion,Monastery of Saint Dominic of Silos,Toledo,male
,Republic of Venice,,,,,,
Eleonore Koch,Germany,,,Berlin,,São Paulo,female
,Brazil,,,,,,
Eli Heil,Brazil,,,,,,female
Elisa,,,,,,,
Elisa Kiyoko Gunz,,,,,,,female
Elisa Martins da Silveira,Brazil,,,Teresina,,Rio de Janeiro,female
Eliseu Visconti,Kingdom of Italy,Académie Julian,,Giffoni Valle Piana,,Rio de Janeiro,male
,Brazil,,,,,,
Elke Hering,Brazil,,,Blumenau,,Blumenau,female
Emeric Marcier,Brazil,,,Cluj-Napoca,,Paris,male
Emerik Feješ,Yugoslavia,,,Osijek,,Novi Sad,male
,Austria–Hungary,,,,,,
Emi Nakano,,,,,,,
Emidio De Souza,,,,,,,male
Emile Claus,Belgium,Royal Academy of Fine Arts,,Sint-Eloois-Vijve,Villa Zonneschijn,Astene,male
Emile Geissberger,,,,,,,
Emília Ceccarelli,,,,,,,
Di Cavalcanti,Brazil,,,Rio de Janeiro,,Rio de Janeiro,male
Emilio Vedova,Italy,,,Venice,Cemetery of San Michele,Venice,male
,Kingdom of Italy,,,,,,
,Italy,,,,,,
Emmanuel Nassar,Brazil,,,Capanema,,,male
Erica Kaminishi,,,,,,,female
Erich Brill,German Reich,,,Lübeck,,Jungfernhof concentration camp,male
Ernest Ange Duez,France,Beaux-Arts de Paris,,former 3rd arrondissement of Paris,Montmartre Cemetery,Saint-Germain-en-Laye,male
Ernestina Karman,Brazil,,,Santos,,,female
Ernesto de Fiori,Austria,,,Rome,,São Paulo,male
,Brazil,,,,,,
,Kingdom of Italy,,,,,,
Ernesto Meyer Filho,Brazil,,,Itajaí,,Florianópolis,male
Ernst Nowak,Cisleithania,,,Opava,,Vienna,male
Erwin Günther,Germany,Kunstakademie Düsseldorf,,Hamburg,,Düsseldorf,male
Estanislau Antônio de Miranda (?),,,,,,,
Estêvão Silva,Brazil,,African Brazilians,Niterói,,Rio de Janeiro,male
Euclides da Fonseca,Brazil,,,,,Rio de Janeiro,male
Eugène Delacroix,France,Beaux-Arts de Paris,French,Saint-Maurice,Grave of Delacroix,Paris,male
,,Lycée Louis-le-Grand,,,,,
,,Lycée Pierre-Corneille,,,,,
Eugène Laermans,Belgium,,,Molenbeek-Saint-Jean,Molenbeek-Saint-Jean Cemetery,Brussels metropolitan area,male
Eugène Louis Boudin,France,,,Honfleur,Saint-Vincent Cemetery,Deauville,male
Eugenio Prati,Kingdom of Italy,Accademia di Belle Arti di Venezia,,Caldonazzo,,Caldonazzo,male
,Austrian Empire,,,,,,
Eugênio Teixeira,,,,,,,
Eulália Nascimento Silva,Brazil,,,,,,female
Eurico de Vio,,,,,,,male
Everett Spruce,United States,Dallas Art Institute,,Conway,,Austin,male
Evert Lundquist,Sweden,Gerlesborg School of Fine Art,,Stockholm,,Stockholm,male
F. Falcão,,,,,,,
F. Mallio,,,,,,,male
F. Prata,,,,,,,
F. Viriato,,,,,,,
Fabiana de Barros,Switzerland,,,São Paulo,,,female
,Brazil,,,,,,
Fabio Barbosa,Brazil,,,São Paulo,,,male
Fabio Fabbi,Kingdom of Italy,"Academy of Fine Arts, Florence",,Bologna,,Casalecchio di Reno,male
,,Academy of Fine Arts of Bologna,,,,,
Fabrizio Clerici,Italy,,,Milan,,Rome,male
,Kingdom of Italy,,,,,,
,Italy,,,,,,
Fausto Pirandello,Italy,,,Rome,,Rome,male
,Kingdom of Italy,,,,,,
,Italy,,,,,,
